row_id;incident_date;player_name;player_country;team_country;player_age;player_team_name;incident_description;heart_related;cardiac_related;collapsed;lightning;collision
1;1889-01-13;William Cropper;England;England;26.0;Staveley;Ruptured bowel in a match against Grimsby Town led to death the next day.;0;0;0;0;0
2;1892-01-11;James Dunlop;Scotland;Scotland;21.0;St Mirren;Tetanus from fall on piece of glass in a friendly game against Abercorn led to death ten days later.;0;0;0;0;0
3;1893-11-12;John Henry Morris;England;England;26.0;Shrewsbury Town;Internal haemorrhage following a bad tackle in a bad tempered match. A verdict of accidental death was returned.;0;0;0;0;0
4;1893-11-23;Walter Bannister;England;England;24.0;Chesterfield Town;"Rupture of the kidney from a tackle in game against Derby Junction; he died almost three weeks later.";0;0;0;0;0
5;1896-03-28;Teddy Smith;England;England;27.0;Bedminster;Suffered severe concussion following a clash of heads in the Gloucestershire Cup semi-final against Eastville Rovers. He continued playing initially, but was eventually forced to leave the game and died from his injury the next morning.;0;0;0;0;0
6;1896-05-25;James Logan;Scotland;England;25.0;Loughborough F.C.;Pneumonia while playing.;0;0;0;0;0
7;1896-11-29;Joe Powell;England;England;25.0;Woolwich Arsenal;Blood poisoning and tetanus after breaking his arm in game against Kettering Town in .;0;0;0;0;0
8;01-01-00;James Collins;England;England;;Sheppey United;Tetanus caused by on-field injury.;0;0;0;0;0
9;27-08-02;Di Jones;Wales;England;35.0;Manchester City;Gashed knee turned septic leading to death.;0;0;0;0;0
10;27-10-06;"David ""Soldier"" Wilson";England;England;23.0;Leeds City;Heart attack while playing against Burnley, probably from heavy smoking. He attempted to return to the field of play even when in great pain.;1;0;0;0;0
11;08-04-07;Tommy Blackstock;Scotland;England;25.0;Manchester United;Collapsed after heading a ball in a game against St. Helens and died.;0;0;1;0;0
12;01-01-08;Frank Levick;England;England;26.0;Sheffield United;Pneumonia during recovery from collar bone broken playing against Newcastle United on  January . Attending Dr Selby of Attercliffe (Sheffield) noted heart failure at :pm on  February  at his father's house on  Plumpers Road Tinsley Sheffield;1;0;0;0;0
13;29-12-09;James Main;Scotland;Scotland;23.0;Hibernian;Fatal stomach injuries during a Christmas Day match in  against Partick Thistle at Firhill on a frostbound pitch, after colliding with a Thistle player, led to death four days later.;0;0;0;0;1
14;19-02-16;Bob Benson;England;England;33.0;Arsenal;Burst blood vessel following a wartime game against Reading.;0;0;0;0;0
15;07-01-21;Horace Fairhurst;England;England;27.0;Blackpool;"Head injury in a league game at Barnsley in December ; died as a result of his injury early in the new year.";0;0;0;0;0
16;22-05-21;Nikola Gazdić;Kingdom of Yugoslavia;Kingdom of Yugoslavia;;Hajduk Split;Late stage tuberculosis after a game against Građanski Zagreb, Hajduk's greatest rival at the time.;0;0;0;0;0
17;14-11-21;Joshua Wilkinson;Scotland;Scotland;24.0;Dumbarton;Goalkeeper who died from peritonitis two days after a game against Rangers.;0;0;0;0;0
18;11-11-23;Tom Butler;England;England;;Port Vale;Died from tetanus eight days after fracturing his arm in a match.;0;0;0;0;0
19;13-03-27;Georges Le Bidois;France;France;26.0;Stade Olympique de l'Est;During a season-ending match of the Ligue Île-de-France [fr], the goalkeeper Georges Le Bidois received a violent kick at his carotid from Swiss Aron Pollitz of US Suisse Paris, from which he succumbed in the locker room. Upon the announcement of his death, the game was called off.;0;0;0;0;0
20;04-04-27;Albert Van Coile;Belgium;Belgium;27.0;Cercle Brugge;Perforated bowel after a collision with an opponent. Died one day later.;0;0;0;0;1
